Region,Year,Both,Male,Female
Global,2016,81,77.6 [ 76.1-80.4],84.7 [ 83.0-88.2]
Global,2015,81.1,77.8 [ 76.3-80.5],84.7 [ 83.0-88.2]
Global,2014,81.2,78.0 [ 76.4-80.6],84.7 [ 83.0-88.2]
Global,2013,81.3,78.1 [ 76.5-80.7],84.7 [ 83.0-88.2]
Global,2012,81.4,78.3 [ 76.7-80.7],84.7 [ 83.0-88.2]
Global,2011,81.5,78.5 [ 76.9-80.8],84.7 [ 83.0-88.2]
Global,2010,81.6,78.7 [ 77.0-80.9],84.8 [ 83.1-88.2]
Global,2009,81.7,78.8 [ 77.2-80.9],84.8 [ 83.1-88.2]
Global,2008,81.8,79.0 [ 77.4-81.0],84.9 [ 83.1-88.1]
Global,2007,82,79.2 [ 77.5-81.0],84.9 [ 83.1-88.1]
Global,2006,82.1,79.4 [ 77.7-81.1],85.0 [ 83.1-88.1]
Global,2005,82.2,79.5 [ 77.8-81.2],85.0 [ 83.1-88.1]
Global,2004,82.3,79.7 [ 77.9-81.3],85.1 [ 83.1-88.0]
Global,2003,82.4,79.8 [ 78.1-81.4],85.1 [ 83.1-88.0]
Global,2002,82.5,80.0 [ 78.2-81.5],85.1 [ 83.1-88.0]
Global,2001,82.5,80.1 [ 78.3-81.6],85.1 [ 83.1-88.0]
Africa,2016,85.4,82.4 [ 81.1-83.6],88.4 [ 87.2-89.1]
Africa,2015,85.4,82.5 [ 81.2-83.7],88.4 [ 87.3-89.1]
Africa,2014,85.5,82.6 [ 81.3-83.7],88.4 [ 87.3-89.1]
Africa,2013,85.5,82.7 [ 81.4-83.8],88.4 [ 87.3-89.1]
Africa,2012,85.6,82.8 [ 81.5-83.8],88.4 [ 87.3-89.0]
Africa,2011,85.6,82.9 [ 81.6-83.9],88.4 [ 87.4-89.0]
Africa,2010,85.6,82.9 [ 81.7-84.0],88.4 [ 87.4-89.0]
Africa,2009,85.7,83.0 [ 81.7-84.1],88.4 [ 87.4-89.0]
Africa,2008,85.7,83.1 [ 81.8-84.1],88.4 [ 87.4-89.0]
Africa,2007,85.8,83.1 [ 81.9-84.2],88.4 [ 87.4-89.0]
Africa,2006,85.8,83.2 [ 82.0-84.3],88.4 [ 87.4-89.0]
Africa,2005,85.8,83.3 [ 82.0-84.4],88.4 [ 87.4-89.0]
Africa,2004,85.9,83.3 [ 82.0-84.4],88.4 [ 87.4-89.0]
Africa,2003,85.9,83.4 [ 82.1-84.5],88.4 [ 87.3-89.0]
Africa,2002,85.9,83.5 [ 82.1-84.6],88.4 [ 87.3-89.0]
Africa,2001,86,83.6 [ 82.2-84.7],88.4 [ 87.3-89.0]
Americas,2016,80.7,75.2 [ 73.5-76.3],86.4 [ 85.2-87.0]
Americas,2015,80.8,75.4 [ 73.8-76.5],86.4 [ 85.3-87.0]
Americas,2014,80.9,75.6 [ 74.0-76.6],86.4 [ 85.3-87.0]
Americas,2013,81,75.8 [ 74.2-76.7],86.3 [ 85.3-87.0]
Americas,2012,81,76.0 [ 74.3-76.8],86.3 [ 85.3-86.9]
Americas,2011,81.1,76.1 [ 74.5-77.0],86.3 [ 85.3-86.9]
Americas,2010,81.2,76.3 [ 74.7-77.1],86.3 [ 85.3-86.9]
Americas,2009,81.3,76.5 [ 74.9-77.3],86.2 [ 85.2-86.8]
Americas,2008,81.3,76.7 [ 75.0-77.4],86.2 [ 85.2-86.8]
